Current Working platform?,Working  hrs/week,Effective working hours,Completed projects,Experience,QA, DevOps ,PM, Problem-solving ,security technical,version control,UI/UX design,prefer working in team or solo,Does your team provide you support at work whenever needed?,provide resources and tools,clear work objectives ,constructive feedback,training in hybrid work.,Preferred working platform
hybrid,40,6,7,expert,Yes,Yes,Yes,yes,Yes,yes,no,solo,no,always,weekly,sometimes,yes,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,both,sometimes,sometimes,projectwise,regularly,No,hybrid
office,42,7,3,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,yes,never,daily,only during evaluation,No,official platform
office,40,6,2,Beginner ,No,No,No,no,No,no,yes,both,no,always,daily,sometimes,No,hybrid
office,40,6,3,Beginner ,No,No,No,yes,No,yes,yes,both,no,always,projectwise,regularly,yes,online platform
hybrid,40,6,2,Beginner ,No,No,No,yes,No,yes,yes,both,yes,never,weekly,only during evaluation,No,hybrid
remote,40,6,5,Intermediate,Yes,No,Yes,no,No,no,yes,both,no,always,weekly,no,No,hybrid
remote,42,6,7,Intermediate,Yes,No,Yes,no,No,no,yes,team,sometimes,never,projectwise,no,No,hybrid
office,40,6,3,Beginner ,No,No,No,yes,No,yes,yes,based on task,no,always,projectwise,only during evaluation,yes,official platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,team,sometimes,never,projectwise,no,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,team,yes,never,weekly,only during evaluation,No,hybrid
hybrid,40,6,3,expert,Yes,Yes,Yes,no,Yes,no,no,solo,no,sometimes,projectwise,regularly,yes,official platform
office,40,6,9,expert,Yes,Yes,Yes,no,Yes,no,yes,based on task,sometimes,never,weekly,no,yes,online platform
remote,40,6,9,Beginner ,No,No,No,yes,No,yes,no,both,sometimes,sometimes,daily,sometimes,yes,hybrid
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,both,no,never,daily,sometimes,yes,official platform
hybrid,42,6,7,expert,Yes,Yes,Yes,yes,Yes,yes,no,both,sometimes,always,daily,only during evaluation,yes,online platform
office,40,6,3,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,yes,never,projectwise,only during evaluation,No,official platform
office,40,6,2,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,yes,sometimes,projectwise,no,No,hybrid
office,40,6,3,Beginner ,No,No,No,no,No,no,yes,both,no,always,weekly,sometimes,No,hybrid
hybrid,40,6,2,Beginner ,No,No,No,yes,No,yes,yes,based on task,no,sometimes,daily,sometimes,No,online platform
remote,40,6,5,Beginner ,No,No,No,no,No,no,yes,based on task,sometimes,sometimes,projectwise,no,No,online platform
remote,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,team,yes,always,projectwise,no,No,official platform
office,40,6,3,Intermediate,Yes,No,Yes,yes,No,yes,yes,team,no,never,projectwise,regularly,yes,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,team,yes,never,daily,no,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,team,yes,always,weekly,no,No,hybrid
hybrid,40,6,3,Beginner ,No,No,No,no,No,no,yes,solo,sometimes,sometimes,weekly,sometimes,yes,online platform
office,40,6,9,expert,Yes,Yes,Yes,yes,Yes,yes,yes,team,sometimes,sometimes,weekly,no,No,official platform
remote,40,6,9,expert,Yes,Yes,Yes,no,Yes,no,no,both,yes,never,daily,regularly,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,based on task,no,never,weekly,no,No,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,team,sometimes,always,daily,no,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,yes,Yes,yes,no,based on task,no,always,daily,sometimes,yes,official platform
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,no,solo,sometimes,sometimes,daily,sometimes,No,online platform
office,42,6,9,Intermediate,Yes,No,Yes,no,No,no,yes,both,no,always,daily,sometimes,No,official platform
remote,40,6,9,Beginner ,No,No,No,yes,No,yes,yes,based on task,yes,always,daily,sometimes,yes,online platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,team,yes,never,weekly,only during evaluation,yes,official platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,solo,yes,always,daily,sometimes,No,hybrid
office,40,6,3,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,sometimes,always,projectwise,no,yes,online platform
office,40,6,2,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,yes,always,projectwise,only during evaluation,yes,official platform
office,42,6,3,Beginner ,No,No,No,no,No,no,yes,team,yes,never,projectwise,regularly,No,hybrid
hybrid,42,6,2,Beginner ,No,No,No,yes,No,yes,yes,solo,yes,always,projectwise,regularly,No,official platform
remote,42,6,5,Beginner ,No,No,No,yes,No,yes,yes,based on task,sometimes,sometimes,projectwise,sometimes,yes,online platform
remote,42,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,both,no,sometimes,daily,sometimes,No,hybrid
office,42,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,yes,never,weekly,regularly,No,official platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,team,no,never,projectwise,sometimes,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,based on task,yes,sometimes,daily,only during evaluation,No,official platform
hybrid,40,6,3,Beginner ,No,No,No,yes,No,yes,no,both,sometimes,sometimes,weekly,sometimes,No,official platform
office,40,6,9,expert,Yes,Yes,Yes,no,Yes,no,no,solo,no,never,weekly,regularly,yes,official platform
remote,40,6,9,expert,Yes,Yes,Yes,yes,Yes,yes,yes,solo,sometimes,always,projectwise,sometimes,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,team,no,never,weekly,sometimes,No,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,team,sometimes,never,weekly,regularly,No,online platform
office,40,6,3,expert,Yes,Yes,Yes,no,Yes,no,yes,team,no,sometimes,daily,no,No,official platform
office,42,7,2,Intermediate,Yes,No,Yes,no,No,no,yes,team,yes,sometimes,projectwise,sometimes,No,official platform
office,42,6,3,Intermediate,Yes,No,Yes,no,No,no,no,team,sometimes,sometimes,daily,no,yes,online platform
hybrid,40,6,2,Beginner ,No,No,No,no,No,no,no,based on task,yes,sometimes,daily,sometimes,No,hybrid
remote,40,6,5,Beginner ,No,No,No,yes,No,yes,yes,team,sometimes,always,daily,no,No,online platform
remote,40,6,7,Beginner ,No,No,No,no,No,no,yes,team,yes,always,daily,only during evaluation,No,official platform
office,40,5,3,Intermediate,Yes,No,Yes,no,No,no,no,team,no,never,weekly,sometimes,No,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,sometimes,always,weekly,sometimes,yes,official platform
hybrid,42,6,7,Beginner ,No,No,No,no,No,no,no,solo,yes,never,projectwise,sometimes,yes,hybrid
hybrid,42,6,3,Beginner ,No,No,No,no,No,no,no,solo,yes,sometimes,daily,only during evaluation,No,hybrid
office,42,6,9,Beginner ,No,No,No,yes,No,yes,no,both,sometimes,sometimes,projectwise,only during evaluation,No,online platform
remote,42,7,9,expert,Yes,Yes,Yes,no,Yes,no,no,both,yes,sometimes,weekly,sometimes,yes,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,based on task,yes,always,daily,only during evaluation,yes,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,both,sometimes,never,weekly,sometimes,No,hybrid
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,solo,sometimes,always,projectwise,sometimes,No,hybrid
office,43,6,9,expert,Yes,Yes,Yes,yes,Yes,yes,no,solo,yes,never,projectwise,only during evaluation,No,online platform
remote,43,6,9,Intermediate,Yes,No,Yes,yes,No,yes,yes,both,yes,always,weekly,only during evaluation,No,official platform
hybrid,43,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,solo,no,always,projectwise,sometimes,yes,hybrid
hybrid,43,6,7,Beginner ,No,No,No,no,No,no,no,solo,yes,always,weekly,regularly,No,official platform
office,43,6,3,Beginner ,No,No,No,no,No,no,no,both,yes,always,daily,sometimes,No,official platform
office,43,6,2,Beginner ,No,No,No,yes,No,yes,yes,both,sometimes,always,projectwise,regularly,yes,hybrid
office,40,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,yes,always,projectwise,sometimes,No,hybrid
hybrid,40,6,2,Intermediate,Yes,No,Yes,yes,No,yes,no,team,sometimes,never,projectwise,only during evaluation,No,hybrid
remote,40,6,5,Beginner ,No,No,No,yes,No,yes,yes,team,no,never,daily,only during evaluation,No,official platform
remote,40,6,7,Beginner ,No,No,No,no,No,no,yes,based on task,no,always,daily,sometimes,yes,hybrid
office,43,6,3,Beginner ,No,No,No,no,No,no,no,both,yes,never,daily,regularly,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,yes,Yes,yes,yes,solo,sometimes,sometimes,projectwise,only during evaluation,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,solo,yes,always,projectwise,only during evaluation,No,hybrid
hybrid,40,6,3,Beginner ,No,No,No,no,No,no,no,both,no,never,weekly,regularly,No,official platform
office,40,6,9,Intermediate,Yes,No,Yes,no,No,no,no,both,no,always,projectwise,regularly,yes,online platform
remote,40,6,9,expert,Yes,Yes,Yes,no,Yes,no,no,based on task,yes,never,daily,regularly,No,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,no,No,no,no,based on task,sometimes,never,weekly,only during evaluation,yes,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,both,sometimes,always,weekly,no,No,online platform
office,40,6,3,Beginner ,No,No,No,yes,No,yes,yes,both,sometimes,sometimes,daily,sometimes,yes,online platform
office,40,6,2,Beginner ,No,No,No,yes,No,yes,yes,both,no,sometimes,projectwise,no,No,official platform
office,40,6,3,Beginner ,No,No,No,no,No,no,no,based on task,no,always,projectwise,regularly,yes,online platform
hybrid,43,6,2,Intermediate,Yes,No,Yes,yes,No,yes,no,team,no,sometimes,daily,no,No,online platform
remote,43,6,5,Intermediate,Yes,No,Yes,no,No,no,yes,solo,yes,always,projectwise,regularly,yes,online platform
remote,40,6,7,Beginner ,No,No,No,no,No,no,yes,solo,yes,always,daily,sometimes,No,official platform
office,40,6,3,Beginner ,No,No,No,no,No,no,no,based on task,no,always,weekly,sometimes,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,both,no,never,daily,sometimes,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,yes,Yes,yes,yes,team,yes,always,weekly,no,yes,hybrid
hybrid,40,6,3,expert,Yes,Yes,Yes,yes,Yes,yes,no,both,no,always,weekly,sometimes,No,online platform
office,43,6,9,Beginner ,No,No,No,no,No,no,yes,both,yes,always,weekly,sometimes,yes,online platform
remote,43,6,9,Intermediate,Yes,No,Yes,yes,No,yes,yes,solo,no,never,weekly,only during evaluation,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,based on task,no,sometimes,weekly,no,yes,official platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,no,No,no,yes,solo,yes,never,projectwise,no,yes,official platform
hybrid,40,6,3,Intermediate,Yes,No,Yes,yes,No,yes,no,team,sometimes,never,projectwise,only during evaluation,No,official platform
office,40,6,9,Beginner ,No,No,No,no,No,no,no,based on task,sometimes,sometimes,daily,sometimes,No,official platform
remote,40,6,9,Beginner ,No,No,No,yes,No,yes,no,solo,sometimes,sometimes,daily,sometimes,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,solo,no,always,weekly,sometimes,yes,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,no,No,no,no,both,sometimes,sometimes,projectwise,regularly,No,hybrid
office,43,6,3,Intermediate,Yes,No,Yes,no,No,no,no,based on task,yes,never,daily,only during evaluation,No,official platform
office,40,6,2,Beginner ,No,No,No,no,No,no,yes,both,no,always,daily,sometimes,No,hybrid
office,40,6,3,Beginner ,No,No,No,no,No,no,yes,both,no,always,projectwise,regularly,yes,online platform
hybrid,40,6,2,Beginner ,No,No,No,yes,No,yes,no,both,yes,never,weekly,only during evaluation,No,hybrid
remote,40,7,5,expert,Yes,Yes,Yes,yes,Yes,yes,no,both,no,always,weekly,no,No,hybrid
remote,43,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,team,sometimes,never,projectwise,no,No,hybrid
office,40,6,3,Beginner ,No,No,No,yes,No,yes,yes,based on task,no,always,projectwise,only during evaluation,yes,official platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,yes,team,sometimes,never,projectwise,no,No,online platform
hybrid,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,team,yes,never,weekly,only during evaluation,No,hybrid
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,solo,no,sometimes,projectwise,regularly,yes,official platform
office,40,7,9,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,sometimes,never,weekly,no,yes,online platform
remote,40,6,9,Beginner ,No,No,No,yes,No,yes,yes,both,sometimes,sometimes,daily,sometimes,yes,hybrid
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,both,no,never,daily,sometimes,yes,official platform
hybrid,43,6,7,Beginner ,No,No,No,no,No,no,yes,both,sometimes,always,daily,only during evaluation,yes,online platform
office,40,6,3,Intermediate,Yes,No,Yes,no,No,no,no,based on task,yes,never,projectwise,only during evaluation,No,official platform
office,40,5,2,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,yes,sometimes,projectwise,no,No,hybrid
office,40,6,3,Beginner ,No,No,No,yes,No,yes,no,both,no,always,weekly,sometimes,No,hybrid
hybrid,40,6,2,Beginner ,No,No,No,yes,No,yes,yes,based on task,no,sometimes,daily,sometimes,No,online platform
remote,40,6,5,Beginner ,No,No,No,yes,No,yes,no,based on task,sometimes,sometimes,projectwise,no,No,online platform
remote,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,team,yes,always,projectwise,no,No,official platform
office,40,6,3,expert,Yes,Yes,Yes,no,Yes,no,yes,team,no,never,projectwise,regularly,yes,hybrid
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,team,yes,never,daily,no,No,hybrid
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,team,yes,always,weekly,no,No,hybrid
hybrid,40,6,3,expert,Yes,Yes,Yes,yes,Yes,yes,no,solo,sometimes,sometimes,weekly,sometimes,yes,online platform
office,40,6,9,Intermediate,Yes,No,Yes,no,No,no,yes,team,sometimes,sometimes,weekly,no,No,official platform
remote,40,6,9,Intermediate,Yes,No,Yes,yes,No,yes,yes,both,yes,never,daily,regularly,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,based on task,no,never,weekly,no,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,team,sometimes,always,daily,no,No,official platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,based on task,no,always,daily,sometimes,yes,official platform
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,no,solo,sometimes,sometimes,daily,sometimes,No,online platform
office,43,6,9,Intermediate,Yes,No,Yes,yes,No,yes,no,both,no,always,daily,sometimes,No,official platform
remote,40,6,9,Beginner ,No,No,No,no,No,no,no,based on task,yes,always,daily,sometimes,yes,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,team,yes,never,weekly,only during evaluation,yes,official platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,solo,yes,always,daily,sometimes,No,hybrid
office,40,6,3,expert,Yes,Yes,Yes,no,Yes,no,no,based on task,sometimes,always,projectwise,no,yes,online platform
office,40,6,2,expert,Yes,Yes,Yes,yes,Yes,yes,yes,based on task,yes,always,projectwise,only during evaluation,yes,official platform
office,43,6,3,Beginner ,No,No,No,no,No,no,no,team,yes,never,projectwise,regularly,No,hybrid
hybrid,43,6,2,Intermediate,Yes,No,Yes,yes,No,yes,no,solo,yes,always,projectwise,regularly,No,official platform
remote,43,6,5,expert,Yes,Yes,Yes,yes,Yes,yes,no,based on task,sometimes,sometimes,projectwise,sometimes,yes,online platform
remote,43,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,both,no,sometimes,daily,sometimes,No,hybrid
office,43,6,3,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,yes,never,weekly,regularly,No,official platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,team,no,never,projectwise,sometimes,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,based on task,yes,sometimes,daily,only during evaluation,No,official platform
hybrid,40,6,3,Beginner ,No,No,No,yes,No,yes,no,both,sometimes,sometimes,weekly,sometimes,No,official platform
office,40,6,9,Intermediate,Yes,No,Yes,no,No,no,yes,solo,no,never,weekly,regularly,yes,official platform
remote,40,6,9,Intermediate,Yes,No,Yes,yes,No,yes,no,solo,sometimes,always,projectwise,sometimes,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,team,no,never,weekly,sometimes,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,team,sometimes,never,weekly,regularly,No,online platform
office,40,6,3,Beginner ,No,No,No,yes,No,yes,no,team,no,sometimes,daily,no,No,official platform
office,43,6,2,expert,Yes,Yes,Yes,yes,Yes,yes,yes,team,yes,sometimes,projectwise,sometimes,No,official platform
office,43,6,3,expert,Yes,Yes,Yes,no,Yes,no,no,team,sometimes,sometimes,daily,no,yes,online platform
hybrid,40,6,2,Beginner ,No,No,No,yes,No,yes,no,based on task,yes,sometimes,daily,sometimes,No,hybrid
remote,40,6,5,Intermediate,Yes,No,Yes,yes,No,yes,yes,team,sometimes,always,daily,no,No,online platform
remote,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,yes,team,yes,always,daily,only during evaluation,No,official platform
office,40,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,team,no,never,weekly,sometimes,No,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,sometimes,always,weekly,sometimes,yes,official platform
hybrid,43,6,7,Beginner ,No,No,No,yes,No,yes,yes,solo,yes,never,projectwise,sometimes,yes,hybrid
hybrid,43,6,3,Beginner ,No,No,No,no,No,no,yes,solo,yes,sometimes,daily,only during evaluation,No,hybrid
office,43,6,9,Beginner ,No,No,No,no,No,no,no,both,sometimes,sometimes,projectwise,only during evaluation,No,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,yes,based on task,yes,always,daily,only during evaluation,yes,hybrid
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,yes,both,sometimes,never,weekly,sometimes,No,hybrid
hybrid,40,6,3,Beginner ,No,No,No,yes,No,yes,no,solo,sometimes,always,projectwise,sometimes,No,hybrid
office,41,6,9,Beginner ,No,No,No,no,No,no,no,solo,yes,never,projectwise,only during evaluation,No,online platform
remote,41,6,9,Beginner ,No,No,No,yes,No,yes,no,both,yes,always,weekly,only during evaluation,No,official platform
hybrid,41,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,solo,no,always,projectwise,sometimes,yes,hybrid
hybrid,41,6,7,Intermediate,Yes,No,Yes,no,No,no,yes,solo,yes,always,weekly,regularly,No,official platform
office,41,6,3,Beginner ,No,No,No,no,No,no,no,both,yes,always,daily,sometimes,No,official platform
office,41,6,2,Beginner ,No,No,No,yes,No,yes,no,both,sometimes,always,projectwise,regularly,yes,hybrid
office,40,6,3,Beginner ,No,No,No,no,No,no,no,based on task,yes,always,projectwise,sometimes,No,hybrid
hybrid,40,6,2,expert,Yes,Yes,Yes,no,Yes,no,yes,team,sometimes,never,projectwise,only during evaluation,No,hybrid
remote,40,6,5,expert,Yes,Yes,Yes,yes,Yes,yes,yes,team,no,never,daily,only during evaluation,No,official platform
remote,40,6,7,Beginner ,No,No,No,no,No,no,yes,based on task,no,always,daily,sometimes,yes,hybrid
office,41,6,3,Intermediate,Yes,No,Yes,no,No,no,no,both,yes,never,daily,regularly,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,yes,solo,sometimes,sometimes,projectwise,only during evaluation,No,official platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,no,No,no,no,solo,yes,always,projectwise,only during evaluation,No,hybrid
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,both,no,never,weekly,regularly,No,official platform
office,40,6,9,Beginner ,No,No,No,yes,No,yes,yes,both,no,always,projectwise,regularly,yes,online platform
remote,40,6,9,Beginner ,No,No,No,no,No,no,yes,based on task,yes,never,daily,regularly,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,based on task,sometimes,never,weekly,only during evaluation,yes,online platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,yes,both,sometimes,always,weekly,no,No,online platform
office,40,6,3,Intermediate,Yes,No,Yes,no,No,no,no,both,sometimes,sometimes,daily,sometimes,yes,online platform
office,40,6,2,Beginner ,No,No,No,yes,No,yes,no,both,no,sometimes,projectwise,no,No,official platform
office,40,6,3,Beginner ,No,No,No,no,No,no,no,based on task,no,always,projectwise,regularly,yes,online platform
hybrid,41,6,2,Beginner ,No,No,No,no,No,no,no,team,no,sometimes,daily,no,No,online platform
remote,41,6,5,expert,Yes,Yes,Yes,yes,Yes,yes,no,solo,yes,always,projectwise,regularly,yes,online platform
remote,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,yes,solo,yes,always,daily,sometimes,No,official platform
office,40,6,3,Beginner ,No,No,No,no,No,no,yes,based on task,no,always,weekly,sometimes,No,hybrid
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,yes,both,no,never,daily,sometimes,No,official platform
hybrid,40,6,7,expert,Yes,Yes,Yes,no,Yes,no,no,team,yes,always,weekly,no,yes,hybrid
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,no,both,no,always,weekly,sometimes,No,online platform
office,41,6,9,Intermediate,Yes,No,Yes,yes,No,yes,yes,both,yes,always,weekly,sometimes,yes,online platform
remote,41,6,9,Beginner ,No,No,No,no,No,no,yes,solo,no,never,weekly,only during evaluation,No,official platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,based on task,no,sometimes,weekly,no,yes,official platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,solo,yes,never,projectwise,no,yes,official platform
hybrid,40,6,3,Intermediate,Yes,No,Yes,no,No,no,no,team,sometimes,never,projectwise,only during evaluation,No,official platform
office,40,6,9,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,sometimes,sometimes,daily,sometimes,No,official platform
remote,40,6,9,Beginner ,No,No,No,yes,No,yes,no,solo,sometimes,sometimes,daily,sometimes,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,solo,no,always,weekly,sometimes,yes,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,both,sometimes,sometimes,projectwise,regularly,No,hybrid
office,41,6,3,expert,Yes,Yes,Yes,no,Yes,no,yes,based on task,yes,never,daily,only during evaluation,No,official platform
office,40,6,2,expert,Yes,Yes,Yes,yes,Yes,yes,yes,both,no,always,daily,sometimes,No,hybrid
office,40,6,3,Beginner ,No,No,No,no,No,no,yes,both,no,always,projectwise,regularly,yes,online platform
hybrid,40,6,2,Intermediate,Yes,No,Yes,yes,No,yes,no,both,yes,never,weekly,only during evaluation,No,hybrid
remote,40,6,5,expert,Yes,Yes,Yes,no,Yes,no,no,both,no,always,weekly,no,No,hybrid
remote,41,6,7,Intermediate,Yes,No,Yes,yes,No,yes,yes,team,sometimes,never,projectwise,no,No,hybrid
office,40,6,3,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,no,always,projectwise,only during evaluation,yes,official platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,yes,team,sometimes,never,projectwise,no,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,no,team,yes,never,weekly,only during evaluation,No,hybrid
hybrid,40,6,3,Beginner ,No,No,No,no,No,no,no,solo,no,sometimes,projectwise,regularly,yes,official platform
office,40,6,9,Intermediate,Yes,No,Yes,no,No,no,no,based on task,sometimes,never,weekly,no,yes,online platform
remote,40,6,9,Intermediate,Yes,No,Yes,no,No,no,no,both,sometimes,sometimes,daily,sometimes,yes,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,both,no,never,daily,sometimes,yes,official platform
hybrid,41,6,7,Beginner ,No,No,No,yes,No,yes,no,both,sometimes,always,daily,only during evaluation,yes,online platform
office,40,6,3,Beginner ,No,No,No,no,No,no,yes,based on task,yes,never,projectwise,only during evaluation,No,official platform
office,40,6,2,expert,Yes,Yes,Yes,no,Yes,no,yes,based on task,yes,sometimes,projectwise,no,No,hybrid
office,40,6,3,expert,Yes,Yes,Yes,no,Yes,no,no,both,no,always,weekly,sometimes,No,hybrid
hybrid,40,6,2,Beginner ,No,No,No,no,No,no,yes,based on task,no,sometimes,daily,sometimes,No,online platform
remote,40,6,5,Intermediate,Yes,No,Yes,yes,No,yes,no,based on task,sometimes,sometimes,projectwise,no,No,online platform
remote,40,6,7,expert,Yes,Yes,Yes,yes,Yes,yes,yes,team,yes,always,projectwise,no,No,official platform
office,40,6,3,Intermediate,Yes,No,Yes,no,No,no,yes,team,no,never,projectwise,regularly,yes,hybrid
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,team,yes,never,daily,no,No,hybrid
hybrid,40,6,7,Beginner ,No,No,No,yes,No,yes,yes,team,yes,always,weekly,no,No,hybrid
hybrid,40,6,3,Beginner ,No,No,No,no,No,no,yes,solo,sometimes,sometimes,weekly,sometimes,yes,online platform
office,40,6,9,Beginner ,No,No,No,yes,No,yes,no,team,sometimes,sometimes,weekly,no,No,official platform
remote,40,6,9,Intermediate,Yes,No,Yes,yes,No,yes,no,both,yes,never,daily,regularly,No,hybrid
hybrid,40,6,7,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,no,never,weekly,no,No,online platform
hybrid,40,6,7,Beginner ,No,No,No,no,No,no,no,team,sometimes,always,daily,no,No,official platform
hybrid,40,5,7,Beginner ,No,No,No,yes,No,yes,no,based on task,no,always,daily,sometimes,yes,official platform
hybrid,40,6,3,Beginner ,No,No,No,yes,No,yes,no,solo,sometimes,sometimes,daily,sometimes,No,online platform
office,40,6,9,expert,Yes,Yes,Yes,no,Yes,no,no,both,no,always,daily,sometimes,No,official platform
remote,40,6,9,expert,Yes,Yes,Yes,yes,Yes,yes,yes,based on task,yes,always,daily,sometimes,yes,online platform
hybrid,40,7,7,Beginner ,No,No,No,no,No,no,yes,team,yes,never,weekly,only during evaluation,yes,official platform
hybrid,40,6,7,Intermediate,Yes,No,Yes,yes,No,yes,no,solo,yes,always,daily,sometimes,No,hybrid
office,40,6,3,expert,Yes,Yes,Yes,no,Yes,no,no,based on task,sometimes,always,projectwise,no,yes,online platform
office,40,6,2,Intermediate,Yes,No,Yes,no,No,no,yes,based on task,yes,always,projectwise,only during evaluation,yes,official platform
office,41,6,3,Intermediate,Yes,No,Yes,yes,No,yes,yes,team,yes,never,projectwise,regularly,No,hybrid
hybrid,41,6,2,Beginner ,No,No,No,yes,No,yes,yes,solo,yes,always,projectwise,regularly,No,official platform
remote,41,6,5,Beginner ,No,No,No,no,No,no,yes,based on task,sometimes,sometimes,projectwise,sometimes,yes,online platform
remote,41,6,7,Beginner ,No,No,No,no,No,no,no,both,no,sometimes,daily,sometimes,No,hybrid
